企画ID,企画タイトル,配信開始日,配信終了日,有効開始日,有効終了日,配信対象者,付与対象者,配信媒体,個数/金額,ごと/以上,最低購入金額,回数制限,付与ポイント数,JANBOX条件,JANBOX,JAN,製品名,みなし個数,配信ステータス
4761,"デルソーレ	ピッツァ各種","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,10,,1,4906690706856,u30d4u30c3u30c4u30a1u30deu30ebu30b2u30eau30fcu30bfu3000uff11u679a,1,admin.common.normal
4761,"デルソーレ	ピッツァ各種","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,10,,1,4906690707242,uff14u7a2eu306eu30c1u30fcu30bau30d4u30c3u30c4u30a1u3000uff11u679a,1,admin.common.normal
4762,"ホソヤ	旨み際立つパリッと春巻・肉汁あふれる焼売","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,10,,1,4977739120834,u65e8u307fu969bu7acbu3064u30d1u30eau30c3u3068u6625u5dfbu3000uff15u672cu5165,1,admin.common.normal
4762,"ホソヤ	旨み際立つパリッと春巻・肉汁あふれる焼売","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,10,,1,4977739152033,u8089u6c41u3042u3075u308cu308bu713cu58f2u3000uff16u30b3u5165,1,admin.common.normal
4763,"ハマヤ	珈琲専門店用アイスコーヒー","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,15,,1,4976610028139,u73c8u7432u5c02u9580u5e97u7528u30a2u30a4u30b9u30b3u30fcu30d2u30fcu3000uff11uff10uff10uff10uff4duff4c,1,admin.common.normal
4764,"【1回限り】ごちそうソース","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,50,,1,4901136853590,u3054u3061u305du3046u30bdu30fcu30b9u3000uff13uff16uff10uff47,1,admin.common.normal
4765,"松谷海苔	淡路島産一番摘み味付のり・手巻き海苔","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,4978241213045,u6de1u8defu5cf6u7523u4e00u756au6458u307fu5473u4ed8u306eu308au3000uff18u5207uff15uff16u679a,1,admin.common.normal
4765,"松谷海苔	淡路島産一番摘み味付のり・手巻き海苔","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,4978241300233,u6de1u8defu5cf6u7523u4e00u756au6458u307fu624bu5dfbu306eu308au3000uff12u5207uff12uff10u679a,1,admin.common.normal
4769,"阪急味ハートフルデイズ	ロースハム４連","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",1,,,,5,,1,4562248664483,u30edu30fcu30b9u30cfu30e0uff14u9023u3000uff11uff16uff10uff47,1,admin.common.normal
4770,"井村屋	あずきバー","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",1,,,,10,,1,4901006219167,"u3042u305au304du30d0u30fc  uff16u672cu5165u3000",1,admin.common.normal
